Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Data_Completed
14858,The King of Fighters: Maximum Impact - Maniax,XB,2005.0,Fighting,Unknown,0.02,0.01,0.0,0.0,0.03,True
14879,Combat Wings: The Great Battles of WWII,Wii,,Simulation,City Interactive,0.02,0.0,0.0,0.0,0.03,False
14928,Tube Slider,GC,2003.0,Racing,Unknown,0.02,0.0,0.0,0.0,0.02,True
14945,Umineko no Naku Koro ni San: Shinjitsu to Gensou no Yasoukyoku,PS3,,Adventure,,0.0,0.0,0.02,0.0,0.02,False
15000,Wii de Asobu: Metroid Prime,Wii,,Shooter,Nintendo,0.0,0.0,0.02,0.0,0.02,False
15001,Payout Poker & Casino,PSP,2006.0,Misc,Unknown,0.02,0.0,0.0,0.0,0.02,True
15002,Wii de Asobu: Metroid Prime,Wii,,Shooter,Nintendo,0.0,0.0,0.02,0.0,0.02,False
15200,Saint,Wii,2009.0,Shooter,Unknown,0.02,0.0,0.0,0.0,0.02,True
15211,Steal Princess,DS,2009.0,Platform,Unknown,0.02,0.0,0.0,0.0,0.02,True
15264,Mario Tennis,3DS,2000.0,Sports,,0.0,0.0,0.02,0.0,0.02,True
15319,Runaway: A Twist of Fate,DS,2011.0,Adventure,Focus Home Interactive,0.0,0.02,0.0,0.0,0.02,True
15479,Yu-Gi-Oh! 5D's Wheelie Breakers (JP sales),Wii,,Racing,Unknown,0.0,0.0,0.02,0.0,0.02,False
15582,Cabela's Alaskan Adventure,PS2,2006.0,Sports,Unknown,0.01,0.01,0.0,0.0,0.02,True
15609,Writing and Speaking Beautiful Japanese DS,DS,,Misc,Unknown,0.0,0.0,0.02,0.0,0.02,False
15655,Virtua Quest,PS2,2005.0,Role-Playing,Unknown,0.01,0.01,0.0,0.0,0.02,True
15700,Shonen Jump's Yu-Gi-Oh! GX Card Almanac,DS,,Misc,Konami Digital Entertainment,0.0,0.0,0.02,0.0,0.02,False
15720,Without Warning,XB,2005.0,Shooter,Capcom,0.01,0.0,0.0,0.0,0.02,True
15742,Football Manager 2007,X360,,Sports,Sega,0.0,0.01,0.0,0.0,0.02,False
15814,Ferrari: The Race Experience,Wii,2011.0,Racing,System 3 Arcade Software,0.0,0.01,0.0,0.0,0.02,True
15868,PDC World Championship Darts 2008,DS,,Sports,Unknown,0.01,0.0,0.0,0.0,0.02,False
15879,Dinotopia: The Sunstone Odyssey,GC,2003.0,Action,Unknown,0.01,0.0,0.0,0.0,0.02,True
15881,Dance! It's Your Stage,Wii,2010.0,Misc,DTP Entertainment,0.0,0.01,0.0,0.0,0.02,True
15903,Jet Impulse,DS,,Simulation,Nintendo,0.0,0.0,0.02,0.0,0.02,False
15918,Dream Dancer,DS,2009.0,Misc,,0.01,0.0,0.0,0.0,0.02,True
16060,PDC World Championship Darts 2008,PSP,,Sports,Oxygen Interactive,0.01,0.0,0.0,0.0,0.01,False
16061,WRC: FIA World Rally Championship,PC,2011.0,Racing,Black Bean Games,0.0,0.01,0.0,0.0,0.01,True
16068,Aquaman: Battle for Atlantis,XB,2003.0,Action,Unknown,0.01,0.0,0.0,0.0,0.01,True
16194,Homeworld Remastered Collection,PC,2015.0,Strategy,,0.0,0.01,0.0,0.0,0.01,True
16197,Shorts,DS,2009.0,Platform,Unknown,0.01,0.0,0.0,0.0,0.01,True
16201,AKB1/48: Idol to Guam de Koishitara...,X360,,Misc,,0.0,0.0,0.01,0.0,0.01,False
16232,Brothers in Arms: Furious 4,X360,,Shooter,,0.01,0.0,0.0,0.0,0.01,False
16249,Agarest Senki: Re-appearance,PS3,,Role-Playing,Idea Factory,0.0,0.0,0.01,0.0,0.01,False
16310,Freaky Flyers,GC,2003.0,Racing,Unknown,0.01,0.0,0.0,0.0,0.01,True
16330,Inversion,PC,2012.0,Shooter,Namco Bandai Games,0.01,0.0,0.0,0.0,0.01,True
16369,Hakuouki: Shinsengumi Kitan,PS3,,Adventure,Unknown,0.01,0.0,0.0,0.0,0.01,False
16430,Virtua Quest,GC,2005.0,Role-Playing,Unknown,0.01,0.0,0.0,0.0,0.01,True
16496,The Smurfs,3DS,2015.0,Action,Unknown,0.0,0.01,0.0,0.0,0.01,True
